Sample,Longitude,Latitude,inclusion.probabilities,domain,FoV,Relief,Soft substata,Hard substrata,Biota,Habitat
91,147.145,-39.4363,0.270002509,4,Open,1,75-100% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Coarse sand
92,147.112,-39.3459,0.286812547,4,Limited,2,25-50% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
93,147.52,-39.4931,0.015910142,2,Open,1,50-75% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Medium Tall Invert complex,Shellhash
94,147.086,-39.4142,0.193468439,4,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Sparse Short Invert complex,Coarse sand
95,147.107,-39.0524,0.01515253,3,Open,2,25-50% Unconsolidated Pebble / gravel (biogenic) ,50-75% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
96,147.118,-39.3297,0.287060464,4,Open,1,50-75% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
97,147.132,-39.0719,0.01515253,3,Open,1,25-50% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
98,146.762,-39.2665,0.000420361,1,Open,1,50-75% Unconsolidated Pebble / gravel (screwshells) ,,Bare,Screwshells
100,147.064,-39.0577,0.01515253,3,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
101,147.533,-39.5627,0.015880475,2,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Bare,Coarse sand
102,147.51,-39.5225,0.015878125,2,Open,2,25-50% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
103,147.106,-39.3052,0.287056754,4,Open,3,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
104,147.503,-39.4873,0.015910137,2,Open,3,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
105,147.174,-39.4483,0.286924136,4,Open,0,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
107,147.136,-39.3206,0.286706694,4,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,25-50% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
108,147.153,-39.3801,0.272699549,4,Open,1,0-25% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Shellhash
109,147.074,-39.0856,0.01515253,3,Open,1,50-75% Unconsolidated Pebble / gravel (screwshells) ,,Bare,Screwshells
110,147.132,-39.3389,0.287010127,1,Open,2,25-50% Unconsolidated Sand / mud (coarse sand) ,25-50% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
111,146.537,-39.1069,0.000424322,1,Open,1,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock ,Sparse Tall Invert complex,Reef
112,147.168,-39.4398,0.285942124,4,Open,0,50-75% Unconsolidated Sand / mud (coarse sand) ,,Sparse Short Invert complex,Coarse sand
113,147.489,-39.5404,0.013869705,2,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,25-50% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
114,147.493,-39.4971,0.015909404,2,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Bare,Coarse sand
115,147.13,-39.3086,0.286885755,4,Open,3,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock ,Dense Tall Invert complex,Reef
116,147.179,-39.4479,0.286991468,4,Open,0,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
117,147.154,-39.0952,0.01515253,3,Open,1,25-50% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
120,147.083,-39.0795,0.01515253,3,Open,0,0-25% Unconsolidated Pebble / gravel (screwshells) ,,Bare,Screwshells
121,147.125,-39.3395,0.287019057,4,Open,2,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Dense Short Invert complex,Shellhash
122,147.528,-39.589,0.015887383,2,Open,2,0-25% Unconsolidated Pebble / gravel (biogenic) ,50-75% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
123,147.076,-39.4096,0.239518415,4,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock ,Dense Tall Invert complex,Reef
124,147.178,-39.4461,0.286960165,4,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Tall Invert complex,Coarse sand
125,146.98,-39.1022,0.000410847,1,Open,1,50-75% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Coarse sand
127,147.155,-39.3729,0.281546087,4,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
