"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
12060,-18.699526,118.899344,20191009,14:23:32,NA,"KEFArea4","Fished",134.9,"Yes","No","Marcus Stowar","KEFArea4 41",14.65,77.9,NA,3,"119","NWSS KEF2"
11575,-18.747986,118.950453,20190407,12:10:58,NA,"KEFArea4","Fished",107.7,"Yes","No","Marcus Stowar","KEFArea4 6",14.76667,76,NA,3,"119","NWSS KEF2"
11580,-18.729577,118.970189,20190407,11:41:12,NA,"KEFArea4","Fished",124.4,"Yes","No","Marcus Stowar","KEFArea4 1",6.85,67.01667,NA,2,"119","NWSS KEF2"
11588,-15.610786,121.335505,20190405,07:42:42,NA,"KEFArea5","Fished",98,"Yes","No","Marcus Stowar","KEFArea5 51",7.88333,68.08334,NA,5,"119","NWSS KEF2"
11593,-15.603078,121.310511,20190404,07:50:54,NA,"KEFArea5","Fished",131.6,"Yes","No","Marcus Stowar","KEFArea5 46",5.98333,65.98333,NA,5,"119","NWSS KEF2"
11597,-15.647154,121.214135,20190403,08:28:06,NA,"KEFArea5","Fished",131.9,"Yes","No","Marcus Stowar","KEFArea5 42",16.78333,76.63333,NA,5,"119","NWSS KEF2"
11599,-15.679164,121.171751,20190403,08:06:06,NA,"KEFArea5","Fished",133,"Yes","No","Marcus Stowar","KEFArea5 40",18.71667,79.65,NA,5,"119","NWSS KEF2"
11600,-15.694761,121.167365,20190403,07:58:22,NA,"KEFArea5","Fished",120.3,"Yes","No","Marcus Stowar","KEFArea5 39",13.56667,74.68333,NA,5,"119","NWSS KEF2"
11620,-15.817298,121.055335,20190331,08:12:16,NA,"KEFArea5","Fished",111.9,"Yes","No","Marcus Stowar","KEFArea5 19",22.8,83.48333,NA,3,"119","NWSS KEF2"
11626,-15.851179,121.047064,20190331,07:32:28,NA,"KEFArea5","Fished",93.8,"Yes","No","Marcus Stowar","KEFArea5 13",7.18333,68.26667,NA,4,"119","NWSS KEF2"
11628,-15.875324,121.024882,20190330,13:24:56,NA,"KEFArea5","Fished",121.3,"Yes","No","Marcus Stowar","KEFArea5 11",9.46666,69.98333,NA,4,"119","NWSS KEF2"
11634,-15.931319,120.993382,20190329,13:51:00,NA,"KEFArea5","Fished",137.3,"Yes","No","Marcus Stowar","KEFArea5 5",10.91667,72.28333,NA,3,"119","NWSS KEF2"
12057,-18.687283,118.883861,20191009,14:40:42,NA,"KEFArea4","Fished",138,"Yes","No","Marcus Stowar","KEFArea4 44",11.06667,72.5,NA,3,"119","NWSS KEF2"
12058,-18.688285,118.878501,20191009,14:35:24,NA,"KEFArea4","Fished",137.9,"Yes","No","Marcus Stowar","KEFArea4 43",13.95,74.43333,NA,3,"119","NWSS KEF2"
11574,-18.745709,118.93734,20190407,12:17:46,NA,"KEFArea4","Fished",107.5,"Yes","No","Marcus Stowar","KEFArea4 7",11.33333,72.15,NA,3,"119","NWSS KEF2"
11618,-15.790311,121.039781,20190401,07:33:48,NA,"KEFArea5","Fished",133.3,"Yes","No","Marcus Stowar","KEFArea5 21",5.61666,68.08334,NA,3,"119","NWSS KEF2"
11619,-15.824304,121.058878,20190331,08:16:40,NA,"KEFArea5","Fished",86,"Yes","No","Marcus Stowar","KEFArea5 20",8.81666,70.41666,NA,4,"119","NWSS KEF2"
11624,-15.837176,121.03275,20190331,07:44:42,NA,"KEFArea5","Fished",116.5,"Yes","No","Marcus Stowar","KEFArea5 15",12.93333,73.5,NA,3,"119","NWSS KEF2"
11635,-15.953783,120.996656,20190329,13:41:52,NA,"KEFArea5","Fished",125.4,"Yes","No","Marcus Stowar","KEFArea5 4",16.71667,77.16666,NA,3,"119","NWSS KEF2"
11583,-15.563208,121.342835,20190405,08:17:08,NA,"KEFArea5","Fished",139,"Yes","No","Marcus Stowar","KEFArea5 56",9.26666,70.03333,NA,3,"119","NWSS KEF2"
12072,-18.734948,118.848857,20191009,08:21:04,NA,"KEFArea4","Fished",129.2,"Yes","No","Marcus Stowar","KEFArea4 29",13.61667,74.21667,NA,4,"119","NWSS KEF2"
12076,-18.759861,118.821832,20191009,07:40:20,NA,"KEFArea4","Fished",118.1,"Yes","No","Marcus Stowar","KEFArea4 25",9.41666,70.45,NA,2,"119","NWSS KEF2"
12081,-18.712291,118.83721,20191001,13:54:30,NA,"KEFArea4","Fished",137.1,"Yes","No","Marcus Stowar","KEFArea4 20",28.73333,90.01667,NA,1,"119","NWSS KEF2"
12084,-18.700926,118.79105,20191001,13:25:54,NA,"KEFArea4","Fished",140.3,"Yes","No","Marcus Stowar","KEFArea4 17",15.15,66.68333,NA,1,"119","NWSS KEF2"
12056,-18.685692,118.920577,20191009,14:56:20,NA,"KEFArea4","Fished",136.6,"Yes","No","Marcus Stowar","KEFArea4 45",21.71667,82.2,NA,3,"119","NWSS KEF2"
12061,-18.710606,118.885496,20191009,14:14:20,NA,"KEFArea4","Fished",131.9,"Yes","No","Marcus Stowar","KEFArea4 40",10.03333,71,NA,3,"119","NWSS KEF2"
12051,-18.741832,118.784728,20191010,08:50:10,NA,"KEFArea4","Fished",131.9,"Yes","No","Marcus Stowar","KEFArea4 50",17.5,78.05,NA,3,"119","NWSS KEF2"
12053,-18.752995,118.769145,20191010,08:32:32,NA,"KEFArea4","Fished",130.5,"Yes","No","Marcus Stowar","KEFArea4 48",11.41667,72.18333,NA,3,"119","NWSS KEF2"
11590,-15.638849,121.27655,20190404,08:19:36,NA,"KEFArea5","Fished",117.1,"Yes","No","Marcus Stowar","KEFArea5 49",14.75,75.33334,NA,5,"119","NWSS KEF2"
11601,-15.710305,121.178818,20190403,07:48:58,NA,"KEFArea5","Fished",111.4,"Yes","No","Marcus Stowar","KEFArea5 38",14.35,75.1,NA,5,"119","NWSS KEF2"
11602,-15.700766,121.144987,20190402,08:45:26,NA,"KEFArea5","Fished",126,"Yes","No","Marcus Stowar","KEFArea5 37",5.36666,67.38333,NA,6,"119","NWSS KEF2"
11606,-15.726084,121.13015,20190402,07:44:28,NA,"KEFArea5","Fished",114.4,"Yes","No","Marcus Stowar","KEFArea5 33",5.96666,66.46667,NA,5,"119","NWSS KEF2"
11611,-15.785332,121.092247,20190401,11:08:54,NA,"KEFArea5","Fished",116.6,"Yes","No","Marcus Stowar","KEFArea5 28",14.41667,75.85,NA,5,"119","NWSS KEF2"
11622,-15.836355,121.023504,20190331,07:55:28,NA,"KEFArea5","Fished",127.8,"Yes","No","Marcus Stowar","KEFArea5 17",11.73333,72.43333,NA,3,"119","NWSS KEF2"
11576,-18.749389,118.956534,20190407,12:07:24,NA,"KEFArea4","Fished",109.2,"Yes","No","Marcus Stowar","KEFArea4 5",17.8,78.03333,NA,2,"119","NWSS KEF2"
