Sample,Longitude,Latitude,Date,Time,Site,Location,Zone,Status,Depth,Successful.count,Successful.length,Observer,inclusion.probabilities,,,
M195,159.11925,-29.49323,20200202,10:40:00,M195,Middleton,Outside,No-take,-94.67974854,Yes,Yes,Kristy,0.026373519,,,
M199,159.08428,-29.49447,20200203,9:18:00,M199,Middleton,Outside,No-take,-63.33108521,Yes,Yes,Kristy,0.011064268,,,
M20,159.11678,-29.40839,20200201,9:23:00,M20,Middleton,Outside,No-take,-61.46575928,Yes,Yes,Justin,0.022604937,,,
M201,159.03295,-29.45785,20200202,16:42:00,M201,Middleton,Outside,No-take,-57.72893143,Yes,Yes,Kristy,0.079878147,,,
M202,159.09239,-29.44992,20200201,8:29:00,M202,Middleton,Lagoon,No-take,-7.814535,Yes,Yes,Joel,0.045325403,,,
M21,159.07954,-29.49271,20200203,9:28:00,M21,Middleton,Outside,No-take,-54.30568314,Yes,Yes,Justin,0.079878147,,,
M211,159.12559,-29.44705,20200201,14:33:00,M211,Middleton,Lagoon,No-take,-0.5428737,Yes,Yes,Joel,0.034260602,,,
M217,159.10549,-29.45524,20200201,7:56:00,M217,Middleton,Lagoon,No-take,-0.4481899,Yes,Yes,Joel,0.034260602,,,
M218,159.08689,-29.46622,20200202,8:47:00,M218,Middleton,Lagoon,No-take,1.342401,Yes,Yes,Joel,0.034260602,,,
M22,159.09817,-29.44875,20200203,13:05:00,M22,Middleton,Lagoon,No-take,1.04782,Yes,No,Kristy,0.045325403,,,
M222,159.09854,-29.4608,20200203,9:40:00,M222,Middleton,Lagoon,No-take,1.241532,Yes,Yes,Joel,0.045325403,,,
M224,159.06006,-29.44859,20200202,13:36:00,M224,Middleton,Lagoon,No-take,0.3747664,Yes,Yes,Joel,0.034260602,,,
M226,159.0344,-29.47306,20200202,16:19:00,M226,Middleton,Outside,No-take,-70.55300903,Yes,Yes,Kristy,0.022604937,,,
M233,159.08976,-29.44451,20200203,10:45:00,M233,Middleton,Outside,No-take,-17.53325,Yes,Yes,Joel,0.062972048,,,
M228,159.09212,-29.49338,20200202,11:05:00,M228,Middleton,Outside,No-take,-56.43106079,Yes,Yes,Kristy,0.079878147,,,
M239,159.07229,-29.46244,20200202,7:57:00,M239,Middleton,Lagoon,No-take,-0.3438438,Yes,Yes,Joel,0.045325403,,,
M24,159.07251,-29.47318,20200202,11:23:00,M24,Middleton,Lagoon,No-take,0.09255763,Yes,Yes,Joel,0.034260602,,,
M240,159.10068,-29.43674,20200203,13:36:00,M240,Middleton,Lagoon,No-take,0.9095932,Yes,Yes,Joel,0.072238902,,,
M241,159.08205,-29.4771,20200202,11:10:00,M241,Middleton,Lagoon,No-take,-0.4997025,Yes,Yes,Joel,0.034260602,,,
M245,159.11233,-29.43168,20200201,13:54:00,M245,Middleton,Lagoon,No-take,1.329883,Yes,Yes,Kristy,0.045325403,,,
M25,159.10062,-29.47681,20200202,10:45:00,M25,Middleton,Lagoon,No-take,0.1380494,Yes,No,Joel,0.045325403,,,
M250,159.05522,-29.45983,20200202,13:02:00,M250,Middleton,Lagoon,No-take,0.06654742,Yes,Yes,Joel,0.034260602,,,
M255,159.09958,-29.47528,20200202,10:40:00,M255,Middleton,Lagoon,No-take,-0.2711242,Yes,Yes,Joel,0.034260602,,,
M257,159.09198,-29.44595,20200203,10:53:00,M257,Middleton,Outside,No-take,-12.82199,Yes,Yes,Kristy,0.277967444,,,
