"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Down","fov.Facing Up","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Ascidians","broad.Bryozoa","broad.Hydroids","broad.Macroalgae","broad.Octocoral/Black","broad.Sponges","broad.Unconsolidated"
"WP_128",-39.11773234,146.2348049,20210522,11:14:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,2.25,0.447213595499958,0,0,0,100,0,0,0
"WP_129",-39.11698167,146.2307103,20210522,11:11:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,0.2,0.447213595499958,0,0,0,0,80,20,0
"WP_130",-39.11517323,146.2316089,20210522,11:08:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,1,0,0,0,0,100,0,0,0
"WP_131",-39.11393348,146.2335879,20210522,11:06:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1.875,1.24642345475822,0,0,0,100,0,0,0
"WP_132",-39.11082842,146.2357717,20210522,11:02:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1,0,0,0,0,100,0,0,0
"WP_133",-39.10745038,146.2349186,20210522,09:41:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,90,10,2.375,0.885061203156784,0,0,0,68.75,0,18.75,12.5
"WP_134",-39.10550545,146.2349869,20210522,09:39:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,1,0,0,0,0,100,0,0,0
"WP_135",-39.09902236,146.2370456,20210522,09:30:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,95,5,0,0,0,0,0,100,0,0,0
"WP_136",-39.085275,146.220231,20210522,09:19:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,1,0,0,0,0,100,0,0,0
"WP_137",-39.08786689,146.2273355,20210522,09:22:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,75,25,0,0,0,0,0,0,0,0,100
"WP_138",-39.08376866,146.2183456,20210522,09:16:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,2.41666666666667,1.37895436890245,0,0,0,75,0,25,0
"WP_139",-39.07539751,146.2194011,20210522,09:11:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1,0,0,0,0,100,0,0,0
"WP_140",-39.07112458,146.2210171,20210522,09:08:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1,0,0,0,0,100,0,0,0
"WP_141",-39.05743967,146.4833914,20210521,09:35:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_142",-39.05152968,146.4797443,20210521,09:28:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,46.1538461538462,0,0,53.8461538461538
"WP_143",-39.05280506,146.4806854,20210521,09:31:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_144",-39.05071167,146.4782666,20210521,09:25:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_145",-39.04641493,146.4783809,20210521,09:22:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,2.35714285714286,1.33630620956212,0,0,0,100,0,0,0
"WP_146",-39.04225535,146.4767675,20210521,09:19:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1.33333333333333,1.04653623694457,0,0,0,66.6666666666667,0,0,33.3333333333333
"WP_147",-39.03882636,146.4741837,20210521,09:17:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_148",-39.03350079,146.4709952,20210521,09:13:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1,0,0,0,0,100,0,0,0
"WP_149",-39.02877306,146.4745891,20210521,09:10:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_150",-39.02656037,146.4766781,20210521,09:07:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,1.35714285714286,0.497245158098847,0,0,0,57.1428571428571,0,42.8571428571429,0
"WP_151",-39.06685606,146.4641613,20210521,11:07:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,30,0,0,70
"WP_152",-39.06511064,146.4455699,20210521,11:15:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1,0,0,0,0,80,0,20,0
