Sample,Latitude,Longitude,Time,Status,Depth,Successful.count,Successful.length,max.distance,Date,Observer_count,Observer_length,Observer,Site,Location
HP_68,-33.992632,151.257592,10:51:00,Fished,30.2,Yes,Yes,4974.555,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS18,North Botany
HM_121,-33.990998,151.260475,12:57:00,Fished,40.2,Yes,Yes,7578.751,20190710,Marty Hing,Marty Hing,Marty Hing,S21,North Botany
HM_122,-33.984938,151.259636,13:02:00,Fished,30.1,Yes,Yes,9088.182,20190710,Marty Hing,Marty Hing,Marty Hing,S21,North Botany
HM_314,-33.97764,151.261921,13:09:00,Fished,26.5,Yes,Yes,6048.356,20190710,Marty Hing,Marty Hing,Marty Hing,S21,North Botany
HP_69,-33.972611,151.267446,12:32:00,Fished,29,Yes,Yes,5788.09,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,S22,North Botany
HP_171,-33.965359,151.267198,12:48:00,Fished,20.5,Yes,No,9666.666667,20190514,Marty Hing,,Marty Hing,S22,North Botany
HM_124,-33.939937,151.270147,14:10:00,Fished,24.1,Yes,Yes,6452.719,20190709,Marty Hing,Marty Hing,Marty Hing,AS19,Coogee-Bondi
HM_125,-33.93766,151.27547,14:02:00,Fished,29.4,Yes,Yes,7101.142,20190709,Marty Hing,Marty Hing,Marty Hing,AS19,Coogee-Bondi
HM_126,-33.937086,151.26941,13:54:00,Fished,27.1,Yes,Yes,4749.603,20190709,Marty Hing,Marty Hing,Marty Hing,AS19,Coogee-Bondi
HP_70,-33.935815,151.271291,12:56:00,Fished,26,Yes,Yes,6406.2,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS19,Coogee-Bondi
HM_127,-33.935036,151.266995,13:47:00,Fished,23.7,Yes,Yes,7408.196,20190709,Marty Hing,Marty Hing,Marty Hing,AS19,Coogee-Bondi
HM_128,-33.930832,151.268344,13:38:00,Fished,22.9,Yes,No,11666.66667,20190709,Marty Hing,Marty Hing,Marty Hing,S23,Coogee-Bondi
HP_172,-33.926627,151.268463,13:10:00,Fished,21,Yes,Yes,9696.026,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,S23,Coogee-Bondi
HM_129,-33.916033,151.273299,13:28:00,Fished,24.5,Yes,Yes,7227.506,20190709,Marty Hing,Marty Hing,Marty Hing,S23,Coogee-Bondi
HM_130,-33.894439,151.28712,8:48:00,Fished,19.3,Yes,Yes,6117.521,20190709,Marty Hing,Marty Hing,Marty Hing,S24,Coogee-Bondi
HP_71,-33.894349,151.288969,13:28:00,Fished,29.3,Yes,Yes,6275.738,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,S24,Coogee-Bondi
HM_131,-33.8892,151.290609,8:57:00,Fished,30.7,Yes,Yes,5102.311,20190709,Daniel Swadling,Daniel Swadling,Daniel Swadling,S24,Coogee-Bondi
HP_72,-33.886571,151.291525,13:35:00,Fished,36.3,Yes,Yes,8279.857,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,S24,Coogee-Bondi
HM_132,-33.867603,151.286449,9:10:00,Fished,30.9,Yes,Yes,9702.548,20190709,Marty Hing,Marty Hing,Marty Hing,S25,Port Jackson Hd
HM_133,-33.849385,151.292316,9:22:00,Fished,21.9,Yes,Yes,6429.664,20190709,Marty Hing,Marty Hing,Marty Hing,S25,Port Jackson Hd
HM_134,-33.849275,151.289887,9:32:00,Fished,20.2,Yes,Yes,6609.484,20190709,Daniel Swadling,Daniel Swadling,Daniel Swadling,S25,Port Jackson Hd
HP_73,-33.848857,151.290444,9:40:00,Fished,21.4,Yes,Yes,8152.667,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,S25,Port Jackson Hd
HM_135,-33.835073,151.284601,9:39:00,Fished,19.3,Yes,Yes,7773.04,20190709,Matthew Hammond,Matthew Hammond,Matthew Hammond,S25,Port Jackson Hd
HP_74,-33.834126,151.284951,9:59:00,Fished,20,Yes,Yes,6429.121,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,S25,Port Jackson Hd
HM_136,-33.825242,151.304529,11:18:00,Fished,34.2,Yes,Yes,6716.415,20190709,Marty Hing,Marty Hing,Marty Hing,S26,Port Jackson Hd
HP_75,-33.823954,151.303345,10:10:00,Fished,25.5,Yes,Yes,4622.976,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,S26,Port Jackson Hd
HM_137,-33.820815,151.305525,11:24:00,Fished,30,Yes,Yes,8165.047,20190709,Marty Hing,Marty Hing,Marty Hing,S26,Port Jackson Hd
HM_138,-33.819568,151.30978,11:30:00,Fished,33,Yes,Yes,5908.076,20190709,Marty Hing,Marty Hing,Marty Hing,S26,Port Jackson Hd
HP_76,-33.816332,151.309365,10:22:00,Fished,30.4,Yes,Yes,7286.657,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS20,Port Jackson Hd
HM_139,-33.814071,151.307263,11:28:00,Fished,24,Yes,Yes,8557.114,20190709,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS20,Port Jackson Hd
HM_140,-33.813471,151.311934,11:45:00,Fished,31.9,Yes,Yes,6338.633,20190709,Marty Hing,Marty Hing,Marty Hing,AS20,Port Jackson Hd
HM_141,-33.809633,151.312407,11:58:00,Fished,31.2,Yes,Yes,5009.09,20190709,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS20,Port Jackson Hd
