Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,ReportID,Year,Comments
DB_108,-38.3699355,141.3296716,20230312,9:55:00,Discovery Bay,No-take,Discovery Bay,62,Scott Gray,Yes,Yes,2023DB_108,2023,Lights
DB_109,-38.3896764,141.3329435,20230311,9:38:00,Discovery Bay,Fished,Discovery Bay,68,Scott Gray,Yes,Yes,2023DB_109,2023,striped trumpeter
DB_110,-38.385098,141.3359215,20230311,9:32:00,Discovery Bay,Fished,Discovery Bay,68,Scott Gray,Yes,Yes,2023DB_110,2023,very nice
DB_111,-38.3662986,141.3214757,20230311,14:07:00,Discovery Bay,No-take,Discovery Bay,62,Scott Gray,Yes,Yes,2023DB_111,2023,snapper finding nemo ray
DB_120,-38.494475,141.2543514,20230310,13:09:00,Discovery Bay,Fished,Discovery Bay Deep,135,Scott Gray,Yes,Yes,2023DB_120,2023,
DB_121,-38.5076375,141.2505691,20230310,13:16:00,Discovery Bay,Fished,Discovery Bay Deep,145,Scott Gray,Yes,Yes,2023DB_121,2023,Sand
DB_122,-38.5001211,141.3063263,20230310,13:48:00,Discovery Bay,Fished,Discovery Bay Deep,97,Scott Gray,Yes,Yes,2023DB_122,2023,Sand
DB_129,-38.4846365,141.3284942,20230310,16:04:00,Discovery Bay,Fished,Discovery Bay Deep,92,Scott Gray,Yes,Yes,2023DB_129,2023,"Nice sponge, silver dory, arrowhead squid"
DB_130,-38.4796383,141.3163577,20230310,15:59:00,Discovery Bay,Fished,Discovery Bay Deep,100,Scott Gray,Yes,Yes,2023DB_130,2023,Sand
DB_131,-38.4954559,141.3208857,20230310,15:49:00,Discovery Bay,Fished,Discovery Bay Deep,102,Scott Gray,Yes,Yes,2023DB_131,2023,Gummy headbutt
DB_132,-38.4897593,141.3093792,20230310,15:54:00,Discovery Bay,Fished,Discovery Bay Deep,96,Scott Gray,Yes,Yes,2023DB_132,2023,Doplhin watch/Sponge
DB_133,-38.5010991,141.2630493,20230310,13:31:00,Discovery Bay,Fished,Discovery Bay Deep,123,Scott Gray,Yes,Yes,2023DB_133,2023,Sponges/Sand
DB_134,-38.5083872,141.3157033,20230310,13:53:00,Discovery Bay,Fished,Discovery Bay Deep,107,Scott Gray,Yes,Yes,2023DB_134,2023,"Light out, but readable"
DB_135,-38.4903488,141.2650091,20230310,13:37:00,Discovery Bay,Fished,Discovery Bay Deep,120,Scott Gray,Yes,Yes,2023DB_135,2023,Sponge/Nice/Gummies
DB_136,-38.5125604,141.2644376,20230310,13:25:00,Discovery Bay,Fished,Discovery Bay Deep,121,Scott Gray,Yes,Yes,2023DB_136,2023,
DB_137,-38.5164773,141.2574488,20230310,13:21:00,Discovery Bay,Fished,Discovery Bay Deep,123,Scott Gray,Yes,Yes,2023DB_137,2023,
DB_141,-38.4852537,141.2231854,20230310,11:01:00,Discovery Bay,Fished,Discovery Bay Deep,150,Scott Gray,Yes,Yes,2023DB_141,2023,
DB_142,-38.4731797,141.2205019,20230310,10:51:00,Discovery Bay,Fished,Discovery Bay Deep,146,Scott Gray,Yes,Yes,2023DB_142,2023,Sand
DB_143,-38.4811393,141.217137,20230310,10:57:00,Discovery Bay,Fished,Discovery Bay Deep,149,Scott Gray,Yes,Yes,2023DB_143,2023,
DB_144,-38.4800265,141.241308,20230310,12:51:00,Discovery Bay,Fished,Discovery Bay Deep,146,Scott Gray,Yes,Yes,2023DB_144,2023,Sand
DB_145,-38.4872829,141.2393837,20230310,13:01:00,Discovery Bay,Fished,Discovery Bay Deep,150,Scott Gray,Yes,Yes,2023DB_145,2023,
DB_146,-38.4805982,141.2315801,20230310,11:07:00,Discovery Bay,Fished,Discovery Bay Deep,149,Scott Gray,Yes,Yes,2023DB_146,2023,Sand
DB_147,-38.4676907,141.2630346,20230310,10:11:00,Discovery Bay,Fished,Discovery Bay Deep,121,Scott Gray,Yes,Yes,2023DB_147,2023,
DB_148,-38.4604934,141.2449968,20230310,10:41:00,Discovery Bay,Fished,Discovery Bay Deep,136,Scott Gray,Yes,Yes,2023DB_148,2023,Check for pull over
DB_149,-38.4544599,141.2602022,20230310,10:24:00,Discovery Bay,Fished,Discovery Bay Deep,126,Scott Gray,Yes,Yes,2023DB_149,2023,
DB_150,-38.4563344,141.2529835,20230310,10:29:00,Discovery Bay,Fished,Discovery Bay Deep,134,Scott Gray,Yes,Yes,2023DB_150,2023,
DB_153,-38.4639906,141.2543256,20230310,10:35:00,Discovery Bay,Fished,Discovery Bay Deep,133,Scott Gray,Yes,Yes,2023DB_153,2023,
DB_155,-38.4603674,141.2648655,20230310,10:18:00,Discovery Bay,Fished,Discovery Bay Deep,119,Scott Gray,Yes,Yes,2023DB_155,2023,Check dolphins lots of fish/dolphins at surface
