Camera Details

Generated: Thursday 02 November 2023 13:59:30

OpCode	TapeReader	Depth	Comment	Latitude	Longitude	Date	Time	MPAStatus	Site	Year	Spare	Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
DB_035	Scott Gray	21	No lights	-38.3318588	141.3748848	13/03/2023	11:48	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93470	0.002850	0.002850	301.032	0.000	0.000	-0.022	4.328	0.625
DB_036	Scott Gray	32	No lights	-38.3511878	141.3571562	12/03/2023	12:10	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93724	0.002850	0.002850	-301.315	0.000	0.000	-0.350	-5.688	0.030
DB_036	Scott Gray	32	No lights	-38.3511878	141.3571562	12/03/2023	12:10	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94413	0.002850	0.002850	301.315	0.000	0.000	0.350	4.632	1.002
DB_037	Scott Gray	34	No lights	-38.3664186	141.3518064	13/03/2023	10:01	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92366	0.002850	0.002850	-301.547	0.000	0.000	-0.323	-4.828	0.928
DB_037	Scott Gray	34	No lights	-38.3664186	141.3518064	13/03/2023	10:01	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94154	0.002850	0.002850	301.547	0.000	0.000	0.323	4.507	0.998
DB_038	Scott Gray	35	Lights	-38.3366863	141.3549212	12/03/2023	11:46	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93492	0.002850	0.002850	-300.711	0.000	0.000	0.238	-5.123	0.866
DB_038	Scott Gray	35	Lights	-38.3366863	141.3549212	12/03/2023	11:46	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93797	0.002850	0.002850	300.711	0.000	0.000	-0.238	5.260	0.601
DB_039	Scott Gray	31	No lights	-38.3734195	141.3505374	13/03/2023	9:56	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93724	0.002850	0.002850	-301.315	0.000	0.000	-0.350	-5.688	0.030
DB_039	Scott Gray	31	No lights	-38.3734195	141.3505374	13/03/2023	9:56	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94413	0.002850	0.002850	301.315	0.000	0.000	0.350	4.632	1.002
DB_040	Scott Gray	35	No lights	-38.3424368	141.3528145	12/03/2023	11:50	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93784	0.002850	0.002850	-301.314	0.000	0.000	0.152	-5.233	-1.079
