OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
BAYULOC3_CAM22_RIG30	0	BAYULOC3_CAM22_RIG30_L_1.MP4	1093	BAYULOC3_CAM22_RIG30_R_1.MP4	1266	0.60783		-1	53.84292	-82.58264	-620.60979	0.35607	0.3197	0.59416	0.89542	628.39117	10.00473					0			Sync Point		
BAYULOC3_CAM24_RIG29	0	BAYULOC3_CAM24_RIG29_L_1.MP4	4074	BAYULOC3_CAM24_RIG29_R_1.MP4	4304	2.2656		-1	41.12913	-92.14584	-601.87694	0.3357	0.31237	0.54378	11.70127	610.27724	10.37205					0			Sync Point		
BAYULOC3_CAM24_RIG29	3	BAYULOC3_CAM24_RIG29_L_3.MP4	3651	BAYULOC3_CAM24_RIG29_R_3.MP4	3881	37.46636		-1	23.06684	-215.32723	-627.25091	0.34564	0.36367	0.58531	2.96092	663.5824	19.97062					0			re-sync		
BAYULOC3_CAM25_RIG22	0	BAYULOC3_CAM25_RIG22_L_1.MP4	9977	BAYULOC3_CAM25_RIG22_R_1.MP4	9986	5.54833		-1	33.87889	-47.60639	-604.2981	0.32658	0.30677	0.51964	0.74824	607.11642	5.1526					0			Sync Point		
BAYULOC3_CAM27_RIG23	0	BAYULOC3_CAM27_RIG23_L_1.MP4	5351	BAYULOC3_CAM27_RIG23_R_1.MP4	6439	2.97575		-1	-2062.22957	-393.98549	-4552.5601	12.04534	3.03856	27.10486	26.24303	5013.36403	24.84492					0			Sync Point		
BAYULOC3_CAM28_RIG20	0	BAYULOC3_CAM28_RIG20_L_1.MP4	1018	BAYULOC3_CAM28_RIG20_R_1.MP4	1197	0.56612		-1	-5.64853	-93.20288	-515.44215	0.26167	0.26555	0.36085	1.22946	523.83136	11.47041					0			Sync Point		
BAYULOC3_CAM29_RIG27	0	BAYULOC3_CAM29_RIG27_L_1.MP4	4156	BAYULOC3_CAM29_RIG27_R_1.MP4	3987	2.3112		-1	71.88971	-95.21472	-567.67769	0.44085	0.31369	0.72313	1.91917	580.07925	13.00741					0			Sync Point		
BAYULOC3_CAM31_RIG28	0	BAYULOC3_CAM31_RIG28_L_1.MP4	2370	BAYULOC3_CAM31_RIG28_R_1.MP4	1687	1.31798		-1	12.46378	-163.24079	-875.97972	0.45849	0.46871	1.07703	0.1949	891.14722	11.28727					0			Sync Point		
BAYULOC3_CAM34_RIG23	0	BAYULOC3_CAM34_RIG23_L_1.MP4	5406	BAYULOC3_CAM34_RIG23_R_1.MP4	5421	3.00634		-1	37.6653	-108.17396	-548.22982	0.2769	0.28381	0.39898	7.48958	560.06804	12.22163					0			Sync Point		
BAYULOC3_CAM36_RIG22	0	BAYULOC3_CAM36_RIG22_L_1.MP4	2876	BAYULOC3_CAM36_RIG22_R_1.MP4	2487	1.59938		-1	32.86156	-91.8718	-592.92845	0.32015	0.3082	0.49874	3.99955	600.90303	8.9102					0			Sync Point		
BAYULOC3_CAM37_RIG29	1	BAYULOC3_CAM37_RIG29_L_1.MP4	18956	BAYULOC3_CAM37_RIG29_R_1.MP4	19039	10.54165		-1	-11.17824	-193.1632	-661.72735	0.35823	0.37106	0.63507	9.19632	689.4346	17.0987					0			Sync Point 2		
