Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hd,Con.hd,Forward.habitat.image.saved,Backward.habitat.image.saved,Habitat.classification ,Observer.length,Length.complete.date.yyyymmdd,Notes
12.05,113.6599868,-22.4673253,20190815,10:29:00,12,Ningaloo Marine Park,Fished,117,Charlotte Aston,20191022,Todd,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
12.06,113.6573736,-22.46548585,20190815,10:25:00,12,Ningaloo Marine Park,Fished,134,Charlotte Aston,20191022,Todd,No,No,378,377,423,Flipped on side,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
12.11,113.64333,-22.48475,20190815,10:14:00,12,Ningaloo Marine Park,Fished,109,Charlotte Aston,20191022,Todd,Yes,Yes,372,371,564,Bouncing. Snapped bait arm,2,2,Yes,Yes,20200305,Charlotte Aston,20200325,Something wrong with right camera
13.02,113.7058369,-22.40386419,20190815,12:32:00,13,Ningaloo Marine Park,Fished,96,Charlotte Aston,20191024,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
13.03,113.7013231,-22.39903562,20190815,12:52:00,13,Ningaloo Marine Park,Fished,107,Charlotte Aston,20191114,Todd,Yes,Yes,378,377,423,Pulled 5 mins early,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
13.04,113.6972845,-22.39765604,20190815,12:48:00,13,Ningaloo Marine Park,Fished,122,Charlotte Aston,20191024,Todd,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
13.05,113.6932459,-22.40087508,20190815,12:43:00,13,Ningaloo Marine Park,Fished,99,Charlotte Aston,20191028,Todd,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
13.06,113.6922957,-22.40478391,20190815,12:39:00,13,Ningaloo Marine Park,Fished,109,Charlotte Aston,20191028,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200325,
13.08,113.7039364,-22.39328734,20190815,12:56:00,13,Ningaloo Marine Park,Fished,101,Charlotte Aston,20191029,Todd,Yes,Yes,372,371,564,Battery died,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
14.01,113.72408,-22.32524,20190815,14:46:00,14,Ningaloo Marine Park,Fished,130,Charlotte Aston,20191029,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
14.02,113.73251,-22.30284,20190815,15:12:00,14,Ningaloo Marine Park,Fished,102,Charlotte Aston,20191115,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,
14.03,113.74266,-22.27651,20190815,15:25:00,14,Ningaloo Marine Park,Fished,106,Charlotte Aston,20191115,Todd,No,No,369,370,422,Flips 15 min in,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,
14.06,113.79046,-22.17832,20190816,8:12:00,14,Ningaloo Marine Park,Fished,109,Charlotte Aston,20191029,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,
14.11,113.7371667,-22.3266667,20190815,14:53:00,14,Ningaloo Marine Park,Fished,110,Charlotte Aston,20191029,Todd,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,
14.12,113.746,-22.3071667,20190815,15:05:00,14,Ningaloo Marine Park,Fished,107,Charlotte Aston,20191030,Todd,Yes,Yes,367,368,440,Two dolphin fish at surface at end. Big reds and lots of them,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,
14.13,113.7416667,-22.2866667,20190815,15:20:00,14,Ningaloo Marine Park,Fished,67,Charlotte Aston,20191030,Todd,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,
15.01,113.7915,-22.17344,20190816,8:16:00,15,Ningaloo Marine Park,Fished,69,Charlotte Aston,20191031,Todd,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,
15.02,113.7941,-22.16882,20190816,8:20:00,15,Ningaloo Marine Park,Fished,69,Charlotte Aston,20191107,Todd,Yes,Yes,375,376,420,No light. Good tape for multidens vs other multidens,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
15.05,113.78335,-22.16173,20190816,8:27:00,15,Ningaloo Marine Park,Fished,67,Charlotte Aston,20191031,Todd,No,No,367,368,440,Flipped on back. cool anenome,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
15.07,113.79163,-22.13639,20190816,8:43:00,15,Ningaloo Marine Park,Fished,69,Charlotte Aston,20191031,Todd,Yes,Yes,372,371,564,"Sunny but windy. Clear, moray eel. Big goldband",2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
15.12,113.7899349,-22.14381158,20190816,8:39:00,15,Ningaloo Marine Park,Fished,68,Charlotte Aston,20191031,Todd,Yes,Yes,373,374,439,White whale. Missing backwards,2,2,Yes,No,20200305,Charlotte Aston,20200319,
16.01,113.80074,-22.12155,20190816,10:22:00,18,Ningaloo Marine Park,Fished,66,Charlotte Aston,20191031,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
16.02,113.79192,-22.11624,20190816,10:28:00,16,Ningaloo Marine Park,Fished,77,Charlotte Aston,20191031,Todd,Yes,Yes,373,374,439,Good habitat,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
16.03,113.7967,-22.10669,20190816,10:39:00,16,Ningaloo Marine Park,Fished,71,Charlotte Aston,20191101,Todd,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
16.04,113.8081,-22.09742,20190816,10:48:00,16,Ningaloo Marine Park,Fished,66,Charlotte Aston,20191101,Todd,Yes,Yes,375,376,420,No light,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
16.05,113.82563,-22.0856,20190816,11:00:00,16,Ningaloo Marine Park,Fished,64,Charlotte Aston,20191107,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
17.08,113.8193929,-22.0943763,20190816,10:53:00,17,Ningaloo Marine Park,Fished,67,Charlotte Aston,20191101,Todd,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
18.01,113.812266,-22.06954369,20190816,12:33:00,18,Ningaloo Marine Park,Fished,66,Charlotte Aston,20191101,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
18.02,113.8120284,-22.06517499,20190816,12:38:00,18,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191101,Todd,Yes,Yes,378,377,423,Cool hammer footage. Not sure about the grandoculis/griseus in these video,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
18.03,113.8082274,-22.06563485,20190816,12:46:00,18,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191104,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,
18.04,113.810603,-22.06172601,20190816,12:50:00,18,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190830,Brooke,Yes,Yes,367,368,440,Converted wrong. Hammerhead.,2,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20191205,
18.07,113.8281828,-22.06264574,20190816,12:54:00,18,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191104,Todd,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,
18.08,113.823194,-22.0725328,20190816,12:58:00,18,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191104,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,
19.01,113.82289,-22.01347,20190816,14:42:00,19,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191104,Todd,Yes,Yes,372,371,564,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,
19.02,113.821531,-22.00792203,20190816,14:44:00,19,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191104,Todd,Yes,Yes,373,374,439,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,
19.03,113.8305585,-22.00286353,20190816,14:55:00,19,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191105,Todd,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,
19.04,113.8255696,-22.00056422,20190816,14:49:00,19,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191105,Todd,Yes,Yes,367,368,440,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,
