Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length
MYORNOS4,-27.47312988,153.4108584,20140201,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOS5,-27.47301831,153.4133734,20140201,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOS6,-27.47484059,153.4042356,20140201,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOS7,-27.47640252,153.4036487,20140201,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOS8,-27.4780388,153.402517,20140201,13:00:00,Myora,No-take,1,2,Ben,Yes,No
POLKFIS1,-27.49703619,153.3979748,20140201,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIS2,-27.49814436,153.3983912,20140201,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIS3,-27.49906782,153.3988337,20140201,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIS4,-27.49625124,153.3978967,20140201,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIS5,-27.49546628,153.3985474,20140201,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIS6,-27.49987584,153.399094,20140201,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIS7,-27.49569715,153.39722,20140201,13:00:00,Polka,Fished,2,2,Ben,Yes,No
POLKFIS8,-27.49761336,153.3971159,20140201,13:00:00,Polka,Fished,2,2,Ben,Yes,No
GOATFIS1,-27.51284954,153.3881626,20140201,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIS2,-27.51384213,153.3879284,20140201,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIS3,-27.51171845,153.3884489,20140201,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIS4,-27.51040266,153.3886571,20140201,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIS5,-27.51469621,153.3877722,20140201,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIS6,-27.51591961,153.3874339,20140201,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIS7,-27.51705067,153.3870174,20140201,13:00:00,Goat,Fished,3,2,Ben,Yes,No
GOATFIS8,-27.51762773,153.3860024,20140201,13:00:00,Goat,Fished,3,2,Ben,Yes,No
PEELN NOS1,-27.48259195,153.3415333,20140201,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOS2,-27.48140874,153.3424097,20140201,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOS3,-27.48056358,153.3435148,20140201,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOS4,-27.47968461,153.3444674,20140201,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOS5,-27.4834709,153.3404282,20140201,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOS6,-27.48428223,153.3390182,20140201,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOS7,-27.48485692,153.3369605,20140201,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELN NOS8,-27.4860739,153.336046,20140201,13:00:00,Peel N G,No-take,4,2,Ben,Yes,No
PEELNEFIS1,-27.48546108,153.3735796,20140201,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIS2,-27.48675638,153.3751829,20140201,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIS3,-27.48779769,153.3764426,20140201,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIS4,-27.48911836,153.3772442,20140201,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIS5,-27.49015965,153.3780458,20140201,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIS6,-27.48462294,153.3719477,20140201,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIS7,-27.48373399,153.3708311,20140201,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELNEFIS8,-27.48289584,153.3682258,20140201,13:00:00,Peel NE,Fished,5,2,Ben,Yes,No
PEELSEFIS1,-27.5112689,153.3515719,20140201,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIS2,-27.51329766,153.3519066,20140201,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIS3,-27.51502949,153.3526877,20140201,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIS4,-27.51666234,153.3530224,20140201,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIS5,-27.51903735,153.3516277,20140201,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIS6,-27.5193837,153.3498423,20140201,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIS7,-27.51874048,153.3468854,20140201,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
PEELSEFIS8,-27.51854256,153.3444306,20140201,13:00:00,Peel SE,Fished,6,2,Ben,Yes,No
ST HHENOS1,-27.39297711,153.2223184,20140201,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOS2,-27.39414589,153.2231151,20140201,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOS3,-27.39494558,153.2245008,20140201,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOS4,-27.39556072,153.2259211,20140201,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOS5,-27.39632964,153.2276532,20140201,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOS6,-27.39728309,153.2294546,20140201,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOS7,-27.3983288,153.2314638,20140201,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOS8,-27.39949753,153.2342005,20140201,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
GREEE FIS1,-27.42991181,153.2453426,20140201,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIS2,-27.42841256,153.2451709,20140201,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIS3,-27.42686245,153.2451422,20140201,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIS4,-27.42490574,153.2449991,20140201,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIS5,-27.4235843,153.2449991,20140201,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIS6,-27.42221201,153.2448273,20140201,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIS7,-27.43087743,153.2455717,20140201,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
