Sample,Family,Genus,Species,Count,,
20_RB111,Siganidae,Siganus,canaliculatus,4,,
20_RB111,Sphyrnidae,Sphyrna,mokarran,1,,
20_RB113,Ariidae,Netuma,thalassina,2,,
20_RB113,Balistidae,Abalistes,stellatus,1,,
20_RB113,Carangidae,Atropus,hedlandensis,2,,
20_RB113,Carangidae,Atule,mate,5,,
20_RB113,Chaetodontidae,Chaetodon,aureofasciatus,2,,
20_RB113,Chaetodontidae,Chelmon,marginalis,2,,
20_RB113,Hemiscylliidae,Chiloscyllium,punctatum,1,,
20_RB113,Labridae,Choerodon,cauteroma,2,,
20_RB113,Labridae,Choerodon,cephalotes,2,,
20_RB113,Labridae,Choerodon,schoenleinii,2,,
20_RB113,Nemipteridae,Scolopsis,monogramma,1,,
20_RB113,Nemipteridae,Pentapodus,porosus,6,,
20_RB113,Pomacanthidae,Chaetodontoplus,duboulayi,2,,
20_RB113,Scombridae,Scomberomorus,spp,2,,
20_RB113,Serranidae,Epinephelus,bilobatus,5,,
20_RB113,Serranidae,Plectropomus,spp,3,,
20_RB113,Sphyrnidae,Sphyrna,mokarran,1,,
20_RB116,Carangidae,Scomberoides,commersonnianus,1,,
20_RB116,Carangidae,Atule,mate,1,,
20_RB116,Carcharhinidae,Carcharhinus,coatesi,1,,
20_RB116,Carcharhinidae,Galeocerdo,cuvier,1,,
20_RB116,Chaetodontidae,Chelmon,marginalis,2,,
20_RB116,Echeneidae,Echeneis,naucrates,4,,
20_RB116,Labridae,Choerodon,cauteroma,2,,
20_RB116,Labridae,Choerodon,cephalotes,2,,
20_RB116,Labridae,Anampses,lennardi,2,,
20_RB116,Labridae,Choerodon,schoenleinii,1,,
20_RB116,Labridae,Choerodon,vitta,7,,
20_RB116,Lethrinidae,Lethrinus,genivittatus,1,,
20_RB116,Lethrinidae,Lethrinus,punctulatus,9,,
20_RB116,Mullidae,Parupeneus,indicus,3,,
20_RB116,Mullidae,Upeneus,tragula,1,,
20_RB116,Nemipteridae,Scolopsis,monogramma,1,,
20_RB116,Nemipteridae,Pentapodus,porosus,13,,
20_RB116,Pomacanthidae,Chaetodontoplus,duboulayi,1,,
20_RB116,Scaridae,Scarus,ghobban,1,,
20_RB116,Scombridae,Scomberomorus,spp,4,,
20_RB116,Serranidae,Epinephelus,bilobatus,4,,
20_RB116,Serranidae,Epinephelus,quoyanus,2,,
20_RB116,Serranidae,Plectropomus,spp,1,,
20_RB116,Siganidae,Siganus,canaliculatus,6,,
20_RB118,Balistidae,Abalistes,stellatus,1,,
20_RB118,Carangidae,Scomberoides,commersonnianus,2,,
20_RB118,Carangidae,Turrum,gymnostethus,1,,
20_RB118,Echeneidae,Echeneis,naucrates,1,,
20_RB118,Hemiscylliidae,Chiloscyllium,punctatum,1,,
20_RB118,Labridae,Choerodon,cauteroma,7,,
20_RB118,Labridae,Choerodon,cephalotes,3,,
20_RB118,Labridae,Anampses,lennardi,1,,
20_RB118,Labridae,Choerodon,schoenleinii,1,,
20_RB118,Lethrinidae,Lethrinus,punctulatus,37,,
20_RB118,Mullidae,Upeneus,tragula,1,,
20_RB118,Muraenidae,Gymnothorax,flavimarginatus,1,,
20_RB118,Nemipteridae,Scolopsis,monogramma,1,,
20_RB118,Pomacanthidae,Chaetodontoplus,duboulayi,1,,
20_RB118,Scombridae,Scomberomorus,spp,2,,
20_RB118,Serranidae,Epinephelus,bilobatus,2,,
20_RB118,Serranidae,Epinephelus,quoyanus,1,,
20_RB118,Serranidae,Plectropomus,spp,1,,
20_RB118,Siganidae,Siganus,canaliculatus,9,,
20_RB118,Sphyraenidae,Sphyraena,jello,1,,
20_RB122,Balistidae,Abalistes,stellatus,1,,
20_RB122,Carangidae,Turrum,gymnostethus,1,,
20_RB122,Carangidae,Atule,mate,27,,
20_RB122,Carangidae,Gnathanodon,speciosus,4,,
20_RB122,Carcharhinidae,Carcharhinus,coatesi,1,,
20_RB122,Carcharhinidae,Galeocerdo,cuvier,1,,
20_RB122,Labridae,Choerodon,cauteroma,8,,
20_RB122,Labridae,Choerodon,cephalotes,1,,
20_RB122,Labridae,Anampses,lennardi,2,,
20_RB122,Lethrinidae,Lethrinus,punctulatus,39,,
20_RB122,Mullidae,Upeneus,tragula,7,,
20_RB122,Nemipteridae,Scolopsis,monogramma,3,,
20_RB122,Nemipteridae,Pentapodus,porosus,4,,
20_RB122,Pomacanthidae,Chaetodontoplus,duboulayi,3,,
20_RB122,Scombridae,Scomberomorus,spp,2,,
20_RB122,Serranidae,Epinephelus,bilobatus,4,,
20_RB122,Serranidae,Plectropomus,spp,2,,
20_RB122,Siganidae,Siganus,canaliculatus,5,,
20_RB125,Carangidae,Selaroides,leptolepis,1,,
20_RB125,Carangidae,Gnathanodon,speciosus,2,,
20_RB125,Echeneidae,Echeneis,naucrates,2,,
20_RB125,Hemiscylliidae,Chiloscyllium,punctatum,1,,
20_RB125,Labridae,Choerodon,cauteroma,3,,
20_RB125,Labridae,Choerodon,cephalotes,1,,
20_RB125,Labridae,Anampses,lennardi,2,,
20_RB125,Lethrinidae,Lethrinus,punctulatus,38,,
20_RB125,Mullidae,Parupeneus,indicus,1,,
20_RB125,Mullidae,Upeneus,tragula,1,,
20_RB125,Muraenidae,Gymnothorax,spp,1,,
20_RB125,Nemipteridae,Pentapodus,porosus,2,,
20_RB125,Pomacanthidae,Chaetodontoplus,duboulayi,1,,
20_RB125,Scombridae,Scomberomorus,spp,2,,
20_RB125,Serranidae,Epinephelus,bilobatus,3,,
20_RB125,Serranidae,Plectropomus,spp,1,,
20_RB125,Siganidae,Siganus,canaliculatus,15,,
20_RB125,Sphyraenidae,Sphyraena,jello,1,,
20_RB129,Carangidae,Turrum,fulvoguttatum,4,,
20_RB129,Carangidae,Atropus,hedlandensis,1,,
20_RB129,Carangidae,Atule,mate,24,,
20_RB129,Carcharhinidae,Carcharhinus,sorrah,1,,
20_RB129,Echeneidae,Echeneis,naucrates,1,,
20_RB129,Ephippidae,Platax,batavianus,1,,
20_RB129,Ginglymostomatidae,Nebrius,ferrugineus,1,,
20_RB129,Hemiscylliidae,Chiloscyllium,punctatum,1,,
20_RB129,Labridae,Choerodon,cauteroma,2,,
20_RB129,Labridae,Choerodon,cephalotes,1,,
20_RB129,Labridae,Macropharyngodon,negrosensis,1,,
20_RB129,Labridae,Choerodon,schoenleinii,1,,
20_RB129,Labridae,Choerodon,vitta,3,,
20_RB129,Lethrinidae,Lethrinus,genivittatus,2,,
20_RB129,Lethrinidae,Lethrinus,laticaudis,2,,
20_RB129,Lethrinidae,Lethrinus,punctulatus,5,,
20_RB129,Lutjanidae,Lutjanus,carponotatus,2,,
20_RB129,Nemipteridae,Scolopsis,monogramma,1,,
20_RB129,Nemipteridae,Pentapodus,porosus,6,,
20_RB129,Pomacanthidae,Chaetodontoplus,duboulayi,2,,
20_RB129,Scombridae,Scomberomorus,spp,1,,
20_RB129,Serranidae,Epinephelus,bilobatus,5,,
20_RB129,Siganidae,Siganus,canaliculatus,4,,
20_RB13,Carangidae,Atropus,hedlandensis,2,,
20_RB13,Carangidae,Selaroides,leptolepis,6,,
20_RB13,Carangidae,Gnathanodon,speciosus,1,,
20_RB13,Carcharhinidae,Galeocerdo,cuvier,1,,
20_RB13,Chaetodontidae,Heniochus,acuminatus,1,,
20_RB13,Chaetodontidae,Chaetodon,aureofasciatus,3,,
20_RB13,Chaetodontidae,Coradion,chrysozonus,2,,
20_RB13,Chaetodontidae,Chelmon,marginalis,2,,
20_RB13,Labridae,Choerodon,cauteroma,3,,
20_RB13,Labridae,Choerodon,cephalotes,1,,
20_RB13,Labridae,Coris,pictoides,1,,
20_RB13,Labridae,Choerodon,schoenleinii,1,,
20_RB13,Lethrinidae,Lethrinus,lentjan,1,,
20_RB13,Lethrinidae,Lethrinus,olivaceus,2,,
20_RB13,Lethrinidae,Lethrinus,punctulatus,15,,
20_RB13,Lutjanidae,Lutjanus,carponotatus,3,,
20_RB13,Nemipteridae,Scolopsis,monogramma,1,,
