Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer.count,Observer.length,Observer
SM04,-32.267165,152.5746333,20220920,14:00:00,Pinnacle,Seven Mile Reef,Fished,46,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SM06,-32.26846,152.5719683,20220920,14:00:00,Pinnacle,Seven Mile Reef,Fished,50,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SNR02,-32.03266,152.6078283,20220919,12:30:00,Snapper Rocks,Snapper Rocks,Fished,26,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SNR03,-32.03237,152.6101083,20220919,12:30:00,Snapper Rocks,Snapper Rocks,Fished,29,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SNR05,-32.030393,152.61068,20220919,12:30:00,Snapper Rocks,Snapper Rocks,Fished,25,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SNR06,-32.03010333,152.6080183,20220919,12:30:00,Snapper Rocks,Snapper Rocks,Fished,31,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SNR07,-32.03774167,152.6154367,20220919,13:30:30,Snapper Rocks,Snapper Rocks,Fished,29,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SNR08,-32.03900333,152.61601,20220919,13:30:30,Snapper Rocks,Snapper Rocks,Fished,29,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SNR09,-32.040495,152.6174033,20220919,13:30:30,Snapper Rocks,Snapper Rocks,Fished,28,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SNR10,-32.03825167,152.6183733,20220919,13:30:30,Snapper Rocks,Snapper Rocks,Fished,23,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
